Topic,Hook,Build Up,Body
Entrepreneur,multiple big creators stole my content and got millions of views more views than even me the original creator,multiple big creators stole my content and got millions of views more views than even me who is the original now i could be mad at them but im a giver and i will give you two of the best ways to find wild content they shouldnt steal but use as inspiration,multiple big creators stole my content and got millions of views more views than even me who is the original now i could be mad at them but im a giver and i will give you two of the best ways to find wild content they shouldnt steal but use as inspiration first is tweet hunter find a creator on twitter in your space and go to their profile tweet hunter will organize all the tweets by the most likes on the sidebar on the right scroll through and specifically look for twitter threads these are gold mines for video ideas the second method is source tiktok find a creator on tiktok and use a chrome extension to sort all their videos by the most views comment pb below if you want me to send you a link to these tools plus a 22page doc on how to grow your personal brand from scratch
Media Influencer,can you follow mrbeast on tiktok comment the word mud just comment the word wallet comment the word yt and you might have noticed something there this is the secret to how the biggest creators grow millions of followers each week,this is the secret to how the biggest creators grow millions of followers each week i personally gained 300000 followers off one video from this method and its not because of their content anyone can do this its because of one simple tactic youre missing out on and thats a cta you see the problem today is that people are mindlessly scrolling through social media,can you follow mrbeast on tiktok comment the word mud just comment the word wallet comment the word yt and you might have noticed something there this is the secret to how the biggest creators grow millions of followers each week i personally gained 300000 followers off one video from this method and its not because of their content anyone can do this its because of one simple tactic youre missing out on and thats a cta you see the problem today is that people are mindlessly scrolling through social media and if your content is getting millions of views its important to remind these people to take action after the video whether thats giving value selling a course doing whatever tell them to like comment share save everything after the video is over because this simple strategy is getting people millions of followers millions of leads millions of dollars from their bank account and theres endless amounts of ways to incorporate ctas throughout your videos i put together a vlog explaining how i grew to almost 1000000 followers in 2 months so comment down below cta if you want it
Content creation,my name is devin jatto and as a social media manager i charge my clients from anywhere from 53 thousand to 187 thousand dollars per year and today im going to share with you my favorite social media strategy so you can steal it and implement it for yourself,first you need to get clear on what youre an expert on so for this video lets say youre a fitness coach,within the niche of fitness youre creating 8 different subtopics this is your lifetime supply of content ideas so lets start with your first subtopic weightloss head over to quoracom and search weight loss now on the left filter your search by questions now take at least 30 ideas and put them into some sort of spreadsheet and in that spreadsheet create 3 different columns subtopic video idea and view count for 30 days create and post one idea every single day and then track the performance of each of the videos views
Content creation,if you need content ideas for tiktoks or instagram reels dont be an ass and ask chadgbt,can you give me 10 content ideas thats horrible let me put you on game and teach you how to use chadgbt correctly to get viral content ideas,right now there are 800 million youtube videos to steal ideas from and thats exactly what were going to do shine ai head over to youtube and search for a video within your industry once you find a youtube video that you like go ahead and copy that videos link and head over to youtubetranscriptcom and paste in that video instructions continue on how to convert a youtube transcript into a content idea using ai
Analytics,this is how the algorithm works on social media,once you learn the algorithm you know the rules of the game and then you know how to win the game,when you first publish your content it gets distributed to 20 of your followers and to a portion of people who are not your followers but those whose interest align with your content then the algorithm measures your content by 2 things watch time and engagement and the platform cares more about watch time because the longer someone spends on their platform the more they get paid from ads so if a person spends time watching your content it gets pushed to more people with similar interests otherwise if the content doesnt grab the viewers attention it gets no boost also if a person shares comments likes or saves your published content the algorithm pushes your content to more viewers resulting in more reach and engagement from a broader audience
Content creation,heres how to turn 1 shitty content idea into 18 viral videos,and if youre questioning my competence i grew my instagram from 0 to 200k followers in six months by using this strategy,the first thing we want to do is come up with a core topic for example lets say our core topic is fitness now we want to break our core topic into three different subtopics so in this case they might be diet weightlifting and cardio now these three subtopics can be broken down into six different content categories number one a quick tip number two industry myths number three common mistakes number four personal stories number five common questions and lastly my personal favorite number six actionable stepbystep systems and now we have infinite content ideas
Content creation,heres how to transform one shitty idea into seven viral hooks for your next video,"build up
lets say the concept for your video is protein powder",you could put a negative spin protein powders should never taste this good or you could put a positive spin this protein shake actually tastes good and its completely organic you can ask a question do your protein shakes always taste like chalk you can share an experience i wanted to get big this summer but getting in enough protein feels impossible you can call the viewer out if you struggle with gaining muscle listen up tell them how heres how you can reach your protein goals and enjoy it or you could give social proof heres why ronnie coleman cant shut up about his protein powder
Content creation,you need to be using this free software for all of your instagram videos,its called minichat,you can easily build automations that instantly respond to comments instagram stories cold dms and so much more ive sent 162000 automated dms with this software
Entrepreneur,alex hormozis favorite line is i have nothing to sell you but this is such a lie,he does have something to sell you its just not what you think the past couple of years alex has been building and leveraging his personal brand positioning himself to sell to certain people just probably not you,in fact when most gurus are selling for thousands of dollars alex hormozi is giving it away for free why because he wants to focus all of his time on businesses making over 3 million per year and this is where he sells once youre established he sells you on taking equity in your company and continuing to mentor you as you scale and leveraging his personal brand to do this has helped him build acquisitioncom to 150 million but none of this would be possible without his personal brand which is exactly why youre an idiot if youre not building yours
Media Influencer,you need to use this copy paste method to go viral on instagram,this is the exact strategy that i used to grow 100000 followers in 62 days land six videos with over one million views all without spending a dime,first identify a niche that you wanna grow in and find a viral video that has five times more views than the profile has followers this is how you know the video actually went viral second take the script from the video and restructure it so that it fits your personal brand image now you can record yourself speaking on the script just like this edit it together and once you master pacing and tonality voila now you have yourself a viral video
